Dept,Cost,Value
1,33202,40545
2,48300,78251
3,10746,15490
4,38101,51456
5,37290,41647
6,7351,8210
7,45920,49394
8,49447,76445
9,28284,38243
10,29369,41826
11,24441,25925
12,4753,7786
13,37266,56580
14,21257,24275
16,23974,27048
17,16355,18464
18,11767,13951
19,154,201
20,5585,6992
21,11412,13457
22,10251,13931
23,33933,37655
24,7043,8309
25,14393,17515
26,10119,12804
27,1829,2710
28,839,954
29,6888,8946
30,4677,6298
31,3585,3840
32,10122,13728
33,8444,9485
34,20497,22106
35,3604,5834
36,2076,3393
37,2672,4006
38,92945,110205
40,79234,86518
41,4388,6177
42,7139,8970
44,7261,8003
45,12,16
46,31499,33583
47,82,131
48,1295,1507
49,15369,21402
50,2775,3301
51,10,14
52,2476,3264
54,200,227
55,12099,19815
56,3662,5396
58,2599,4185
59,1070,1681
60,434,586
67,10938,17437
71,7733,8415
72,81079,91989
74,20821,22289
77,400,479
78,7,9
79,33001,38597
80,26311,39870
81,27194,32958
82,25908,30421
83,4274,5624
85,4497,4993
87,29647,44301
90,88563,95858
91,47456,78493
92,111903,164633
93,46503,52818
94,59868,63148
95,100095,150613
96,14,21
97,17952,25836
98,13114,19284
99,735,796
